"x","y","krill"
-127.05,47.95,8.72710037231445
-126.95,47.95,8.65481376647949
-126.85,47.95,8.62399673461914
-126.75,47.95,8.07649230957031
-126.75,47.85,9.54121112823486
-126.65,47.95,8.34049129486084
-126.65,47.85,9.51015758514404
-126.65,47.75,9.12227535247803
-126.55,47.95,8.62043952941895
-126.55,47.85,9.46654891967773
-126.55,47.75,9.13943862915039
-126.55,47.65,8.93237018585205
-126.55,47.55,8.80728912353516
-126.45,47.95,8.67606735229492
-126.45,47.85,9.5070858001709
-126.45,47.75,9.38851451873779
-126.45,47.65,8.91105461120605
-126.45,47.55,8.81115341186523
-126.45,47.45,8.67047023773193
-126.45,47.35,8.06364154815674
-126.35,47.95,8.57250499725342
-126.35,47.85,9.68928813934326
-126.35,47.75,9.6036376953125
-126.35,47.65,9.12673282623291
-126.35,47.55,8.88168239593506
-126.35,47.45,8.28379535675049
-126.35,47.35,8.29116916656494
-126.35,47.25,8.02197170257568
-126.35,43.15,9.16397380828857
-126.35,43.05,9.22243595123291
-126.35,42.95,9.25108814239502
-126.35,42.85,9.27116012573242
-126.35,42.75,9.3194522857666
-126.35,42.65,9.3094892501831
-126.35,42.55,9.35164737701416
-126.35,42.45,9.47045707702637
-126.25,47.95,8.76198101043701
-126.25,47.85,9.66487789154053
-126.25,47.75,9.63477993011475
-126.25,47.65,9.10085964202881
-126.25,47.55,8.3284740447998
-126.25,47.45,8.26459312438965
-126.25,47.35,8.24722194671631
-126.25,47.25,8.20905494689941
-126.25,47.15,8.05275917053223
-126.25,47.05,8.04219627380371
-126.25,43.45,8.69613265991211
-126.25,43.35,8.84602069854736
-126.25,43.25,8.94832515716553
-126.25,43.15,9.05749607086182
-126.25,43.05,9.23326587677002
-126.25,42.95,9.24521732330322
-126.25,42.85,9.25757694244385
-126.25,42.75,9.31952285766602
-126.25,42.65,9.34209251403809
-126.25,42.55,9.36737823486328
-126.25,42.45,9.47865390777588
-126.25,42.35,9.49252605438232
-126.25,42.25,9.65456104278564
-126.15,47.95,8.70749092102051
-126.15,47.85,9.63774013519287
-126.15,47.75,9.62731170654297
-126.15,47.65,9.10317039489746
-126.15,47.55,8.29382038116455
-126.15,47.45,8.28614330291748
-126.15,47.35,8.25402355194092
-126.15,47.25,8.18685531616211
-126.15,47.15,8.2108325958252
-126.15,47.05,8.27995300292969
-126.15,46.95,8.22353935241699
-126.15,46.85,8.61845970153809
-126.15,46.75,8.8346004486084
-126.15,43.75,8.83132553100586
-126.15,43.65,8.75659561157227
-126.15,43.55,8.75456523895264
-126.15,43.45,8.70504951477051
-126.15,43.35,8.90710163116455
-126.15,43.25,8.9540205001831
-126.15,43.15,9.03426551818848
-126.15,43.05,9.2044563293457
-126.15,42.95,9.25128078460693
-126.15,42.85,9.26094436645508
-126.15,42.75,9.29765605926514
-126.15,42.65,9.34281826019287
-126.15,42.55,9.45800113677979
-126.15,42.45,9.49788951873779
-126.15,42.35,9.5230598449707
-126.15,42.25,9.68926906585693
-126.15,42.15,9.73820781707764
-126.15,42.05,9.7356481552124
-126.15,41.95,9.74629878997803
-126.15,41.85,9.74716949462891
-126.15,40.75,10.2566204071045
-126.15,40.65,10.2823486328125
-126.15,40.55,9.87644290924072
-126.15,40.45,9.76507377624512
-126.15,40.35,9.82822322845459
-126.15,40.25,9.85371780395508
-126.05,47.95,8.82219219207764
-126.05,47.85,9.63760471343994
-126.05,47.75,9.61243152618408
-126.05,47.65,9.12125015258789
-126.05,47.55,8.27663421630859
-126.05,47.45,8.27529335021973
-126.05,47.35,8.26609897613525
-126.05,47.25,8.19378089904785
-126.05,47.15,8.15112400054932
-126.05,47.05,8.24706268310547
-126.05,46.95,8.24373531341553
-126.05,46.85,8.84162139892578
-126.05,46.75,9.12461566925049
-126.05,46.65,8.87055969238281
-126.05,46.55,8.85641288757324
-126.05,46.35,9.46494197845459
-126.05,46.25,9.06406307220459
-126.05,43.95,8.88005447387695
-126.05,43.85,8.8887300491333
-126.05,43.75,8.85142803192139
-126.05,43.65,8.92230701446533
-126.05,43.55,8.81189250946045
-126.05,43.45,8.99027729034424
-126.05,43.35,8.93808364868164
-126.05,43.25,8.90500354766846
-126.05,43.15,9.01171779632568
-126.05,43.05,9.10993385314941
-126.05,42.95,9.24847793579102
-126.05,42.85,9.28418731689453
-126.05,42.75,9.28508281707764
-126.05,42.65,9.34863185882568
-126.05,42.55,9.45280838012695
-126.05,42.45,9.50089836120605
-126.05,42.35,9.55824089050293
-126.05,42.25,9.6894702911377
-126.05,42.15,9.73667907714844
-126.05,42.05,9.73534297943115
-126.05,41.95,9.74041843414307
-126.05,41.85,9.75362682342529
-126.05,41.75,9.72070980072021
-126.05,41.65,9.72220134735107
-126.05,41.55,9.58469104766846
-126.05,40.95,10.1937208175659
-126.05,40.85,10.1851625442505
-126.05,40.75,10.2660818099976
-126.05,40.65,10.2814950942993
-126.05,40.55,9.88333511352539
-126.05,40.45,9.76824378967285
-126.05,40.35,9.82045078277588
-126.05,40.25,9.90245723724365
-126.05,40.15,10.1523723602295
-126.05,40.05,10.2496938705444
-126.05,39.95,10.1500625610352
-126.05,39.85,9.49485111236572
-125.95,47.95,8.28833484649658
-125.95,47.85,9.65121269226074
-125.95,47.75,9.58334159851074
-125.95,47.65,9.1296558380127
-125.95,47.55,8.29281711578369
-125.95,47.45,8.29088115692139
-125.95,47.35,8.26170253753662
-125.95,47.25,8.23215579986572
-125.95,47.15,8.17685031890869
-125.95,47.05,8.26262283325195
-125.95,46.95,8.24137210845947
-125.95,46.85,8.92464542388916
-125.95,46.75,9.1403636932373
-125.95,46.65,9.06822395324707
-125.95,46.55,8.91417026519775
-125.95,46.45,9.45405673980713
