"x","y","layer"
-131.65,47.25,0.00189246458467096
-131.55,47.25,0.00197735149413347
-131.45,47.25,0.00196787831373513
-131.35,47.25,0.00112561462447047
-131.25,47.25,0.000839029322378337
-131.15,47.25,0.000705333834048361
-131.05,47.25,0.000343300780514255
-130.95,47.25,0.000345792243024334
-130.85,47.25,0.00035564973950386
-130.75,47.25,0.00037228103610687
-130.65,47.25,0.000447197700850666
-130.55,47.25,0.00053734180983156
-130.45,47.25,0.000569185358472168
-130.35,47.25,0.000536616134922951
-130.25,47.25,0.000547594157978892
-130.15,47.25,0.000689058913849294
-130.05,47.25,0.000807464413810521
-129.95,47.25,0.000876313541084528
-129.85,47.25,0.000918560312129557
-129.75,47.25,0.00106428808066994
-129.65,47.25,0.00116657605394721
-129.55,47.25,0.00135360076092184
-129.45,47.25,0.00135268236044794
-129.35,47.25,0.00135463802143931
-129.25,47.25,0.00130896945483983
-129.15,47.25,0.00110026251059026
-129.05,47.25,0.00101801834534854
-128.95,47.25,0.00101975898724049
-128.85,47.25,0.000908385089132935
-128.75,47.25,0.000832547666504979
-128.65,47.25,0.00076601590262726
-128.55,47.25,0.000714433204848319
-128.45,47.25,0.000644834013655782
-128.35,47.25,0.000578033563215286
-128.25,47.25,0.000555760518182069
-128.15,47.25,0.000560645421501249
-128.05,47.25,0.000568408635444939
-127.95,47.25,0.000571076350752264
-127.85,47.25,0.000617386656813323
-127.75,47.25,0.000699228956364095
-127.65,47.25,0.000811365141998976
-127.55,47.25,0.000925882020965219
-127.45,47.25,0.00101212959270924
-127.35,47.25,0.00113917037378997
-127.25,47.25,0.00121768692042679
-127.15,47.25,0.0012775365030393
-127.05,47.25,0.0013028591638431
-126.95,47.25,0.00132620742078871
-126.85,47.25,0.00122141255997121
-126.75,47.25,0.00116718339268118
-126.65,47.25,0.00106517586391419
-126.55,47.25,0.000984760816209018
-126.45,47.25,0.00147064542397857
-126.35,47.25,0.00319960666820407
-126.25,47.25,0.00509971054270864
-126.15,47.25,0.00563019514083862
-126.05,47.25,0.00602533342316747
-125.95,47.25,0.00710303708910942
-125.85,47.25,0.00799059588462114
-125.75,47.25,0.00700472109019756
-125.65,47.25,0.00571837881579995
-125.55,47.25,0.00754781719297171
-125.45,47.25,0.0110111031681299
-125.35,47.25,0.0119137447327375
-125.25,47.25,0.00954148173332214
-125.15,47.25,0.00959102902561426
-125.05,47.25,0.0109189376235008
-124.95,47.25,0.0116332489997149
-124.85,47.25,0.0144062964245677
-124.75,47.25,0.0161679852753878
-124.65,47.25,0.00711380457505584
-124.55,47.25,0.00261792889796197
-124.45,47.25,0.00191545323468745
-124.35,47.25,0.00206034816801548
-131.65,47.15,0.00227684783749282
-131.55,47.15,0.00233165477402508
-131.45,47.15,0.00277425535023212
-131.35,47.15,0.00146620417945087
-131.25,47.15,0.00109412136953324
-131.15,47.15,0.00170789158437401
-131.05,47.15,0.00190857460256666
-130.95,47.15,0.0020902487449348
-130.85,47.15,0.00227342359721661
-130.75,47.15,0.00232216715812683
-130.65,47.15,0.00243362644687295
-130.55,47.15,0.00262832455337048
-130.45,47.15,0.00152238225564361
-130.35,47.15,0.000559909676667303
-130.25,47.15,0.000588084221817553
-130.15,47.15,0.00076013378566131
-130.05,47.15,0.00077507906826213
-129.95,47.15,0.000835055892821401
-129.85,47.15,0.000889796763658524
-129.75,47.15,0.00105246983002871
-129.65,47.15,0.00112984795123339
-129.55,47.15,0.00138393673114479
-129.45,47.15,0.00139557977672666
-129.35,47.15,0.00140655564609915
-129.25,47.15,0.00132286583539099
-129.15,47.15,0.0011695068096742
-129.05,47.15,0.00110063783358783
-128.95,47.15,0.00106919347308576
-128.85,47.15,0.000898628612048924
-128.75,47.15,0.000789579702541232
-128.65,47.15,0.000771339691709727
-128.55,47.15,0.000709242245648056
-128.45,47.15,0.000654334842693061
-128.35,47.15,0.000583185814321041
-128.25,47.15,0.000562830711714923
-128.15,47.15,0.000545281451195478
-128.05,47.15,0.000536122999619693
-127.95,47.15,0.000563014240469784
-127.85,47.15,0.000585965521167964
-127.75,47.15,0.000613899261225015
-127.65,47.15,0.000632570299785584
-127.55,47.15,0.000714075635187328
-127.45,47.15,0.000771934224758297
-127.35,47.15,0.000869368552230299
-127.25,47.15,0.000952018308453262
-127.15,47.15,0.0010445254156366
-127.05,47.15,0.00109860743395984
-126.95,47.15,0.00110046123154461
-126.85,47.15,0.00108529394492507
-126.75,47.15,0.00100740545894951
-126.65,47.15,0.00094409822486341
-126.55,47.15,0.000881766085512936
-126.45,47.15,0.00111143058165908
-126.35,47.15,0.00206056796014309
-126.25,47.15,0.00378831243142486
-126.15,47.15,0.00521080894395709
-126.05,47.15,0.00584599189460278
-125.95,47.15,0.00653063738718629
-125.85,47.15,0.0081086615100503
-125.75,47.15,0.00719447061419487
-125.65,47.15,0.00427471799775958
-125.55,47.15,0.00465066358447075
-125.45,47.15,0.0103738624602556
-125.35,47.15,0.0130987279117107
-125.25,47.15,0.0101687153801322
-125.15,47.15,0.00949206855148077
-125.05,47.15,0.0114246113225818
-124.95,47.15,0.0148620484396815
-124.85,47.15,0.0176595747470856
-124.75,47.15,0.0185147188603878
-124.65,47.15,0.00768903968855739
-124.55,47.15,0.00249520316720009
-124.45,47.15,0.00165118009317666
-124.35,47.15,0.00182413507718593
-131.65,47.05,0.00307128252461553
-131.55,47.05,0.00234400667250156
-131.45,47.05,0.0024314618203789
-131.35,47.05,0.00241473014466465
-131.25,47.05,0.00229069706983864
-131.15,47.05,0.0014484046259895
-131.05,47.05,0.00139470677822828
-130.95,47.05,0.00120545539539307
-130.85,47.05,0.00123970792628825
-130.75,47.05,0.00135758332908154
-130.65,47.05,0.00146340194623917
-130.55,47.05,0.00172917870804667
-130.45,47.05,0.00274969963356853
-130.35,47.05,0.000891375762876123
-130.25,47.05,0.000725168210919946
-130.15,47.05,0.000801509246230125
-130.05,47.05,0.000774841813836247
-129.95,47.05,0.000789481040555984
-129.85,47.05,0.000779180263634771
-129.75,47.05,0.000914352247491479
-129.65,47.05,0.00102723867166787
-129.55,47.05,0.00125022290740162
-129.45,47.05,0.00128902157302946
-129.35,47.05,0.00127503892872483
-129.25,47.05,0.00117989967111498
-129.15,47.05,0.00115048710722476
-129.05,47.05,0.00113480468280613
-128.95,47.05,0.0010215116199106
-128.85,47.05,0.000878302962519228
-128.75,47.05,0.000761714007239789
